record_id,Unnamed: 0_data1,Main_data1,Sub_data1,Interval,Replication,Unnamed: 5,Unnamed: 6,Main.1,Sub.1,Intervals,Rep,Unnamed: 11,Stage 3,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Stage 4,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 0_data2,Unnamed: 1,Unnamed: 2,Unnamed: 3,Main_data2,Sub_data2,Unnamed: 8,Treat,Rep.1,Unnamed: 12
73,,I1,S1,1.0,3.0,32.8,,I1,S2,3.0,3.0,37.7,I3,S3,1,2,36.7,I3,S4,9,2,43.8,,,,,I1,S1,80.3,T12,2,68.2
74,,I1,S1,1.0,3.0,32.8,,I1,S2,3.0,3.0,37.7,I3,S3,1,2,36.7,I3,S4,9,2,43.8,,,,,I1,S2,79.6,T13,2,81.0
75,,I1,S1,1.0,3.0,32.8,,I1,S2,3.0,3.0,37.7,I3,S3,1,2,36.7,I3,S4,9,2,43.8,,,,,I1,S3,80.7,T1,3,80.3
76,,I1,S1,1.0,3.0,32.8,,I1,S2,3.0,3.0,37.7,I3,S3,1,2,36.7,I3,S4,9,2,43.8,,,,,I1,S4,82.5,T2,3,79.6
77,,I1,S1,1.0,3.0,32.8,,I1,S2,3.0,3.0,37.7,I3,S3,1,2,36.7,I3,S4,9,2,43.8,,,,,I2,S1,75.5,T3,3,80.7
78,,I1,S1,1.0,3.0,32.8,,I1,S2,3.0,3.0,37.7,I3,S3,1,2,36.7,I3,S4,9,2,43.8,,,,,I2,S2,75.0,T4,3,82.5
79,,I1,S1,1.0,3.0,32.8,,I1,S2,3.0,3.0,37.7,I3,S3,1,2,36.7,I3,S4,9,2,43.8,,,,,I2,S3,76.5,T5,3,75.5
80,,I1,S1,1.0,3.0,32.8,,I1,S2,3.0,3.0,37.7,I3,S3,1,2,36.7,I3,S4,9,2,43.8,,,,,I2,S4,75.4,T6,3,75.0
81,,I1,S1,1.0,3.0,32.8,,I1,S2,3.0,3.0,37.7,I3,S3,1,2,36.7,I3,S4,9,2,43.8,,,,,I3,S1,69.4,T7,3,76.5
82,,I1,S1,1.0,3.0,32.8,,I1,S2,3.0,3.0,37.7,I3,S3,1,2,36.7,I3,S4,9,2,43.8,,,,,I3,S2,70.3,T8,3,75.4
